ID,Company Name,Industry,Contact Name,Email,Phone,City,Country,Revenue ($),Employees
20,Morris PLC,Healthcare,Angela Downs,jeremylewis@yahoo.com,(699)375-5394,Foxport,Norway,351756.75,249
21,Flowers-Reed,Tech,Francis Steele,eparker@nelson.com,985.463.1041,West Jasonberg,Kyrgyz Republic,132510.55,198
22,"Hart, Monroe and Jacobs",Finance,Peter Salazar,joshua14@wise.biz,515.067.3213x113,East Beth,United States Virgin Islands,631361.68,106
23,Miller Ltd,Tech,Jeremy Dominguez,ndawson@hotmail.com,(992)271-8406x14174,New Erika,Brazil,451280.77,478
24,Hudson Inc,Education,Victoria Dalton,thomas18@hotmail.com,4749893127,West Davidburgh,Tunisia,726842.07,12
25,Gray Ltd,Finance,Laura Evans,stuartblevins@yahoo.com,(688)378-8484,Port Andrewton,Gabon,185242.44,283
26,Booker Group,Education,Dylan Aguilar,tuckerjason@harris.com,+1-792-772-8263x2251,Scottborough,Djibouti,83960.08,277
27,Clark-Massey,Retail,Gabrielle Yu,kimberly75@santiago.net,8127970567,Reneemouth,Puerto Rico,982590.3,341
28,Hart PLC,Finance,Sean Lopez,howardsamantha@cooke-mason.com,6417163618,Timothyburgh,Togo,997629.24,37
29,"Brown, Brown and Ross",Finance,Charles Knapp,ashleynewman@gmail.com,+1-512-001-4847x32161,New Lisa,Somalia,282863.93,25
30,"Barrera, Mosley and Kerr",Retail,Christy Cooper,waterskelly@yahoo.com,+1-306-466-3257x8149,New Joshualand,Solomon Islands,280229.16,450
31,Middleton and Sons,Finance,David Taylor,hhernandez@gmail.com,001-950-370-6927,West Timothy,Vietnam,132630.6,242
32,Cortez Ltd,Healthcare,Margaret Warren,nicholas23@williams-anderson.com,058.343.7982,Stephanieborough,Timor-Leste,647309.13,21
33,Hodges-Dawson,Education,Derek Russell,browndeborah@herman.com,6568672766,Michaelburgh,Bahamas,964287.77,494
34,Hernandez-Aguilar,Retail,Leah Warren,perezmercedes@cline.com,4386134830,Fitzpatrickshire,Grenada,999127.8,364
35,Gonzalez PLC,Healthcare,Angela Hernandez,cmassey@mitchell-meyer.com,586.656.6026,North Amanda,Poland,249113.66,93
36,Mueller LLC,Finance,Ronald Hart,morgan60@gmail.com,+1-373-854-4678x317,Robertshire,Falkland Islands (Malvinas),823397.51,155
37,Clark Ltd,Education,Gail Edwards,codywright@dyer-barrett.com,-1603,East Victoria,Aruba,401875.07,90
38,"Nelson, Floyd and Quinn",Healthcare,Wayne Martinez,marissapatel@gmail.com,-4608,Port Zachary,Niger,481325.03,118
39,Williams-Casey,Healthcare,Scott Best,justinwebb@hotmail.com,305-218-5386,East Alexa,Palestinian Territory,216166.4,104
40,Miller and Sons,Finance,Zachary Cook,mistywilliams@yahoo.com,2012816831,Rogershire,Tonga,635220.2,275
41,"Sims, Padilla and Rivera",Education,Kiara Holloway,franklinrichard@mcgee.com,785-111-8789,South Laura,Indonesia,329261.43,344
42,Carey Group,Education,Matthew Moore,michael24@yahoo.com,(793)744-6077,Annaport,Guyana,877127.72,456
43,Arias LLC,Education,Matthew Harris,nunezlaura@yahoo.com,001-193-927-2527x8290,North Dan,Saint Pierre and Miquelon,52905.84,263
44,Smith LLC,Education,Cory Chang,david09@gonzalez-smith.com,(327)522-5082,North Diane,Turkmenistan,346182.45,267
45,"Harvey, Richmond and Gonzalez",Education,Tracey Smith,ztorres@garza-shepherd.com,(743)026-6354x654,Troyberg,Dominican Republic,799877.3,349
46,Young-Smith,Retail,Tracy Berger,garciaandrea@yahoo.com,357-410-4630x37708,Christinaport,Falkland Islands (Malvinas),571489.09,473
47,Ray-Carroll,Education,Dennis Hampton,gregory98@yahoo.com,-3921,West Christopher,Benin,611883.23,88
48,"Smith, Nunez and Underwood",Finance,Mr. Christopher Morris PhD,gtodd@conner-sanchez.com,000-374-7225x739,Wongville,Luxembourg,737041.48,298
49,Smith PLC,Retail,Laurie Christensen,ikelly@gmail.com,564.835.6852,West Carol,Afghanistan,94493.19,43
50,Jones-Rocha,Retail,Carmen Holloway,tylertorres@yahoo.com,317.115.0435,South Stevenshire,Timor-Leste,416338.71,487
51,Luna-Taylor,Retail,Brian Lewis,helenlynch@yahoo.com,383.701.6970x19958,New Austinland,Tonga,817655.16,172
52,Estes Group,Retail,Julia Smith,wrichardson@morse.com,(815)278-3226x23019,Smithville,Montenegro,824744.8,459
53,Baker Group,Education,Linda Harrison,abradley@hotmail.com,358-558-6835x215,Michaelfort,Malta,388800.89,91
54,Smith-Perez,Retail,Kevin Bailey,joshua82@collins-jones.com,001-199-335-4630x346,Lake Andrewmouth,Morocco,428124.15,241
55,Charles Inc,Retail,Ronnie Martin,wilcoxricky@burton-bentley.biz,9764782653,Walkerborough,Aruba,216857.46,269
56,Morgan Ltd,Tech,Matthew Olson,jason56@hotmail.com,+1-455-682-3412x39465,New Jessica,South Georgia and the South Sandwich Islands,780917.34,357
57,"Mason, Macdonald and Shelton",Tech,David Mcdonald,michellegalvan@martinez.com,+1-252-337-8326x27439,Yvonnefurt,Malawi,185287.63,74
58,"Brandt, Perez and Cardenas",Finance,Kevin Collins,joshuaellis@hotmail.com,(321)822-7156x75629,Edwardsmouth,Guernsey,564049.63,320
59,Campbell-Huerta,Healthcare,Zachary Black,cochransabrina@yahoo.com,(984)974-4724,Port Markmouth,Barbados,26302.97,329
60,Vaughan and Sons,Tech,Aaron Stevens,vedwards@castillo-meyer.com,0844860788,New Deanna,Mayotte,721283.05,127
61,"Cunningham, Shah and Campos",Tech,Patricia Brown,deborahpierce@daniels-ramsey.com,941.493.3764,New Cheryl,Samoa,428102.01,363
62,Haas-Bishop,Finance,Andrew Perez,fdixon@hotmail.com,258.041.8082,New Christopher,Slovenia,401790.52,445
63,Ford-Ballard,Education,Sean Beck,shicks@yahoo.com,+1-464-739-6262x2949,West Christinestad,Cyprus,430133.49,185
64,Levine Inc,Tech,Patrick Vega,barkertodd@barrera.net,-6311,Williamshire,Russian Federation,300753.58,84
65,"Johnson, Marshall and Brown",Tech,David Mason,adrianscott@gmail.com,997.093.6497x13868,North Patricialand,Tuvalu,153378.36,428
66,"Jensen, Jones and Johnson",Finance,Emily Wright,pjackson@gmail.com,001-694-388-5722x87769,Ashleyville,Iran,528047.01,214
67,"Garcia, Keller and Brown",Tech,Ashley Fuller,thompsonphillip@hotmail.com,727.647.1368x56426,Port Lindachester,Peru,544846.61,152
68,Burns Group,Healthcare,Robert Turner,nicolecombs@barker.info,168.816.5544x4979,Port Kennethmouth,Senegal,116484.63,492
69,Peterson Ltd,Finance,Scott Leonard,santoschad@gmail.com,(658)101-6257x6072,Jeremiahport,Libyan Arab Jamahiriya,107957.03,419
70,"Roberts, Burns and Gutierrez",Finance,Eric Turner,cody18@garcia-williams.biz,467-143-0552,Lake Logan,Saint Lucia,190916.14,423
71,Wilson-Bradley,Healthcare,Brooke Parks,williamsthomas@yahoo.com,+1-516-448-8170x44608,Martinshire,Kenya,293420.37,420
72,"Smith, Lindsey and Luna",Finance,Derek Hancock,troy14@gmail.com,+1-084-681-2244x0663,South Jonathan,Eritrea,158952.35,309
73,"Henderson, Ramirez and Martin",Finance,Kurt Lowery,elizabethwilliams@ashley-williams.com,484-662-0971x93261,West Katelyn,Burkina Faso,62542.89,14
74,"Glover, Klein and Kennedy",Finance,Ryan Navarro,ahudson@drake.com,(957)756-6015x2091,Bowersmouth,Ireland,347882.19,72
75,Payne PLC,Retail,Shannon Sims,orichmond@castillo.org,-5574,Theresaview,Kazakhstan,479317.52,126
76,Warner Inc,Tech,Sara Brown,jasonkeller@lewis.info,800.961.4060x72320,Alexandraview,Vanuatu,665839.66,500
77,"Arroyo, Ford and Fox",Finance,Shannon Myers,paul74@rogers.com,285-928-6659,Lake Michelle,Yemen,541760.38,245
78,Bird Ltd,Healthcare,Sean Cross,kathycalderon@hotmail.com,934.469.4548x36973,Mcgeetown,Togo,191756.41,441
79,Burns Group,Tech,Susan Gilbert,maypatrick@allen-johnson.info,249-379-3148x0803,Grantchester,Brazil,156678.86,339
80,Lamb-Hawkins,Tech,Toni Walton,melissa63@jimenez-moore.info,001-085-696-5802x984,Munozhaven,Turkey,241541.65,55
81,Hodges-Thomas,Education,Joshua Rios MD,gomezbruce@henderson.com,001-289-470-6270x5398,Darrenborough,Albania,90012.97,102
82,Rios-Guerra,Finance,Terri Simmons,bmills@hotmail.com,7521822503,New Sandra,Philippines,953104.81,123
83,Clark Inc,Retail,Jennifer Hawkins,william28@hotmail.com,001-517-538-3517x384,West Dale,Burundi,155254.63,376
84,Mejia-Mendez,Healthcare,Sally Bautista,kristinhood@edwards-green.biz,001-521-261-5128x76545,Ethanberg,Saint Vincent and the Grenadines,141567.57,433
85,Sanchez-Savage,Finance,Rachel Price,brian22@fernandez.info,+1-980-831-4740x75970,New Michael,Saint Pierre and Miquelon,772427.37,497
86,Sanchez-Hahn,Tech,Monica Turner,jasonlawrence@ford.com,015.830.7573,East Justin,Suriname,668905.51,314
87,"Jones, Hays and Moore",Retail,Jeremiah Ward,michelle69@beck.org,001-160-813-5212x502,Murphytown,Seychelles,229289.2,400
88,Johnson-Ramsey,Retail,Jacob Smith,craigfisher@yahoo.com,574.313.5031x041,New Coreystad,Indonesia,631966.5,197
89,"Lane, Navarro and Wright",Retail,Madeline Young,ycasey@hotmail.com,115-147-8401x5800,South Carol,United Arab Emirates,147261.36,19
90,"Adams, Floyd and Campbell",Tech,Terrence Strong,wgibson@hotmail.com,840.155.6838,Shanemouth,Mauritania,890894.24,359
91,"Fleming, Goodman and Boyer",Finance,Benjamin Ellis,bleonard@williams-griffith.com,5541660175,New Gary,Iceland,432066.81,83
92,Sanchez-Palmer,Retail,Chad Brown,franklinholly@yahoo.com,784-640-6842,Banksville,Italy,136156.22,346
93,Morris-Newman,Retail,Mary Russell,mosesamanda@simpson.com,001-139-096-5229x5623,North Kristine,Ecuador,852634.12,422
94,Waller-Oneal,Tech,Steven Romero,trevor93@chang-perez.biz,054.574.2524,Newtonmouth,Ukraine,534456.42,243
95,Nguyen-Cruz,Retail,Barry Henry,griffinkimberly@blackburn.com,324.172.7730x37160,West Debbie,Canada,444302.17,319
96,"Ortega, Thomas and White",Retail,Chad Myers,sarah95@hotmail.com,(364)092-6772x32358,Vancebury,Saint Vincent and the Grenadines,766752.01,392
97,Sloan-Jensen,Tech,Andrea Meyer,amandahenry@mcdaniel-lyons.info,+1-344-592-3156x2288,Timothytown,Nigeria,777246.34,90
98,Newman Ltd,Retail,Robert White,johnny12@hickman-maxwell.com,919.576.1214,Lake David,Grenada,402939.19,167
99,Griffith and Sons,Tech,Melissa Arroyo,fischerjacqueline@carroll.com,411-730-3375x4541,South Wendyville,Saint Martin,500368.03,328
100,Sloan-Long,Tech,Shannon Smith,kenneth32@yahoo.com,+1-090-145-8642x0516,West Joshua,Netherlands Antilles,855470.05,293
